"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Cote d'Ivoire","CIV","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","188000","237000","274000","301000","","","","","","","","","182000","205000","231000","252000","270000","289000","380000","471000","1441000","1583000","1800000","1965000","2070000","",
"Cameroon","CMR","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","451000","477000","487000","498000","573000","604000","817000","783000","822000","897000","994000","1081000","997000","","",
"Congo, Dem. Rep.","COD","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35000","37000","30000","53000","80000","103000","55000","28000","35000","36000","61000","55000","47000","50000","53000","81000","186000","167000","191000","334000","354000","351000","","","","",
"Congo, Rep.","COG","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","199000","224000","259000","345000","229000","224000","213000","151000","158000","","",
"Colombia","COL","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1433000","751000","758000","823000","725000","707000","788000","661000","668000","840000","981000","2096000","2381000","2545000","2649000","1701000","2356000","2434000","2595000","2866000","3371000","3675000","4056000","4398000","4529000","",
"Comoros","COM","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23000","24000","26000","27000","24000","24000","19399.9996185303","18899.9996185303","20600.0003814697","23299.9992370605","25899.9996185303","28500","15199.9998092651","14800.0001907349","11300.0001907349","15300.0001907349","18799.9992370605","22799.9992370605","21899.9996185303","22799.9992370605","23600.0003814697","26799.9992370605","28000","35900.0015258789","45099.9984741211","",
"Cabo Verde","CPV","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28000","37000","45000","52000","67000","115000","134000","126000","150000","157000","198000","242000","267000","285000","287000","336000","428000","482000","503000","494000","520000","598000","668000","710000","758000","",
"Costa Rica","CRI","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","924000","940000","1013000","1167000","1267000","1278000","1320000","1335000","1514000","1771000","1959000","2071000","2302000","2409000","2309000","2495000","2526000","2542000","2641000","2760000","2899000","3204000","3231000","3313000","3366000","",
"Caribbean small states","CSS","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8608436.64507127","9027600.36307626","9357302.28035596","9482950.87688024","9901109.40611303","11115377.4429236","10923386.3874346","11075114.1361257","12223187.434555","13943780.104712","13151761.2565445","13524000","13774000","13494000","14132000","14853000","15421000","15540000","15674000","16644000","17200000","17638000","18488000","19669834.9167994","19819087.2645395","",
"Cuba","CUB","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","745000","1004000","1170000","1416000","1603000","1774000","1775000","1686000","1906000","2049000","2319000","2221000","2152000","2348000","2430000","2532000","2716000","2847000","2862000","3014000","3540000","4009000","4654000","4712000","4276000","",
"Curacao","CUW","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","396000","387000","422000","437000","433000","514000","519000","545000","508000","452000","510000","572000","664000","773000","808000","762000","837000","908000","1071000","1129000","1072000","944000","1058000","1210000","1293000","",
"Cayman Islands","CYM","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1044000","1173000","1248000","1275000","1431000","1385000","1549000","1878000","2113000","1953000","1967000","2197000","2008000","1856000","1792000","1886000","1710000","1829000","1721000","1993000","2102000","2097000","2147000","2384000","2334000","",
"Cyprus","CYP","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2253000","2089000","2194000","2357000","2578000","2912000","2841000","2495000","2416000","2478000","2657000","2629000","2671000","2631000","2370000","2450000","2626000","2635000","2626000","2558000","2780000","3286000","3750000","4024000","4117000","",
"Czech Republic","CZE","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20108000","23808000","24747000","25102000","22625000","21850000","23285000","21941000","22810000","25750000","26332000","27166000","29604000","32519000","34701000","36268000","","",
